X,id,PEDON_ID,Year,Location_U,Soil_Serie,Soil_Ser_1,Location,Lab_ID,Great_Grou,Order,Subgroup,Latitude,Longitude,Phase,Master_Hor,Suffix,Lower_Dept,Upper_Dept,Horizon_Mo,Horizon_Li,Calcium,Potassium,Magnesium,Sodium,CEC,Water_Solu,EC,Inorganic_,Organic_Ca,Water_So_1,Water_So_2,Water_So_3,Water_So_4,Water_So_5,Water_So_6,Total_Nitr,Exchangeab,Water_So_7,Extractabl,Extracta_1,clay_0_2,silt,clay_0_02,coase_sand,fine_sand,medium_san,total_sand,vc_sand,vf_sand,water_rtn_,water_rt_1,water_rt_2,b1,b2,b3,b4,b5,b6,b7,ari,ari_noBareSoil,CRSI,CRSI_noBareSoil,NDVI_July_Aug,NDVI_July_Aug_noBareSoil,NDVI_Sept_Oct,NDVI_Sept_Oct_noBareSoil,NDVI_SD,SAVI_Jul_Aug,SAVI_Jul_Aug_noBareSoil,SAVI_Sept_Oct,SAVI_Sept_Oct_noBareSoil,dem_3x3_sd3x3,dem_3x3_sd5x5,dem_3x3_sd9x9,dem_3x3_sd21x21,dem_9x9_sd21x21,dem_9x9_sd101x101,dem_3x3_tri,dem_5x5_tri,dem_9x9_tri,dem_9x9_tri_20,precip,temperature,MidSlope_Pos_100m,Norm_Height_100m,Slope_Height_100m,Stand_Height_100m,SWI_100m,Valley_Depth_100m
15,7193_1,7193,1992,600,MUA,Murrydale,NE0809 23 W3,92-0030,Black,Chernozem,Orthic,49.72383389,-109.0825677,NA,A,p,16,0,NA,NA,13.9,0.6,2,0.1,31.9,0.3,0.4,NA,4.3,1.3,0.1,NA,0.5,1.1,1,NA,NA,NA,NA,NA,21.8,44.9,NA,4.6,10.9,4.2,33.3,1.8,11.8,NA,NA,3.4,689.2197266,987.6538086,1219.875,1942.763916,3373.875,3015.416992,2968.125,1.300853133,1.822374344,0.793432653,0.825427055,0.402581334,0.551926911,0.237998068,0.362101555,0.163712717,0.602621119,0.819284331,0.357294272,0.578971364,0.334143788,0.498897821,0.804295361,1.770247698,1.436873913,10.82389355,0.720841706,0.691121697,0.529272795,1.021474004,464.9284322,288.3999939,0.041997664,0.368055403,1.131676912,951.9168701,7.79817152,1.149249792
16,7194_1,7194,1992,600,LPD,Lodgepole,NE1308 30 W3,92-0090,Gray,Luvisol,Dark Gray,49.6510993,-109.9405762,NA,A,h,7,0,NA,NA,6.7,1,1.6,NA,31.4,0.4,0.2,NA,5.82,1.4,0.5,NA,0.8,0.4,0.4,NA,NA,NA,NA,NA,37.7,32.4,NA,3.6,13.5,4.4,29.9,1.6,6.6,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,2.317455292,2.365915298,0.846327782,0.84735316,0.637753725,-3.40E+38,0.390073806,-3.40E+38,0.160444533,0.956122262,0.957750142,0.584307079,0.658852283,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,460.1874188,288.6210938,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
17,7195_1,7195,1992,600,BCA,Bone creek,NW1708 29 W3,92-0060,Black,Chernozem,Orthic,49.65114104,-109.906584,NA,A,h,17,0,NA,NA,29.1,1.4,4.3,NA,43.3,0.6,0.6,NA,6.46,5.1,0.2,NA,1.6,0.4,1.1,NA,NA,NA,NA,NA,34.4,31.6,NA,4.1,12.6,3.9,34,2.5,10.8,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,2.105593443,2.13023448,0.834756136,0.835382223,0.669048429,0.59991771,0.512422979,0.378320992,0.140249758,1.00558696,1.004996524,0.768505183,0.786611288,0.369970798,0.590302229,0.90149802,4.747216225,4.458635807,43.65707779,0.778679967,0.656197011,0.560643911,2.658592939,461.0233937,288.6055298,0.868375063,0.934187531,23.39239693,1314.385376,6.47181654,1.43241179
18,7196_1,7196,1992,600,MUA,Murrydale,NE1409 25 W3,92-0102,Black,Chernozem,Orthic,49.73870939,-109.2863546,NA,A,p,18,0,NA,NA,12.7,0.5,2.5,NA,31.7,0.1,0.2,NA,4.25,1.6,0.2,NA,0.6,0.6,1,NA,NA,NA,NA,NA,26.6,55.2,NA,1.6,5.6,2.7,18.2,0.6,7.7,NA,NA,3.6,611.5,840.1875,1045.375,1765.75,3212.666748,2934.136475,2904.125,1.797370315,2.123901367,0.821738124,0.834492207,0.533213437,0.575404823,0.347937763,0.39963913,0.172131406,0.799311997,0.910861226,0.52198033,0.618665081,0.323495239,0.47827208,0.753246069,2.132166386,1.525001526,23.49469566,0.690816879,0.614986181,0.555033326,1.064503312,464.5735749,288.4486694,0.569264889,0.784632444,6.790249825,1100.610352,8.678153038,1.864304066
19,7197_1,7197,1992,600,BJI,Belanger,NW1709 28 W3,92-0098,Dark Brown,Chernozem,Solonetzic,49.73589262,-109.7691763,NA,A,h,10,0,NA,NA,10.2,0.9,4,0.2,22.7,0.3,0.3,NA,2.99,1.7,0.4,NA,1.1,1.6,0.7,NA,NA,NA,NA,NA,26.3,25.4,NA,9.2,16.9,6.1,48.3,4.8,11.2,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,0.869982958,1.112605929,0.735871792,0.760201931,0.370566964,0.440677434,0.277793974,0.367853701,0.107691678,0.556952927,0.659379025,0.416621758,0.559556711,0.465096295,0.679181814,1.219530821,3.307508945,2.961755753,30.61313248,1.005187273,0.981045961,0.935912251,2.033625126,459.531501,288.5892639,0.101591349,0.398566902,2.886481285,796.3032227,8.901536942,3.419243574
20,7203_1,7203,1958,600,CKE,Claybank,NE0614 24 W2,58-0198,Dark Brown,Chernozem,Eluviated,50.14527738,-105.2654764,NA,A,p,15,0,NA,NA,9.6,2.4,3.9,0.3,20,NA,1.1,NA,1.96,NA,NA,NA,NA,NA,NA,0.19,3.8,NA,NA,NA,28,27,12,NA,20,NA,45,NA,4,NA,NA,NA,829.7142944,1189.076904,1443.285767,2152.388916,3319.5,3015.726563,2870.25,1.057031155,1.410411716,0.762276232,0.801376998,0.301977992,0.435150355,0.198548362,0.419490218,0.127200982,0.454856083,0.676270022,0.294744931,0.574854642,0.081168182,0.367173195,0.713039458,1.318734407,1.079279304,8.373434067,0.640187383,0.61338073,0.569040835,1.161520004,499.3789146,289.1196899,0.212818772,0.606409371,3.633569002,552.2473755,8.539566994,1.938413858
21,7204_1,7204,1958,600,BKC,Brooking,SW0913 25 W2,58-0220,Solodized Solonetz,Solonetz,Dark Brown,50.06512808,-105.3676182,NA,A,p,10,0,NA,NA,10.8,2.2,6.3,0.5,24.8,NA,0.6,NA,1.91,NA,NA,NA,NA,NA,NA,0.17,5,NA,NA,NA,37,28,22,NA,12,NA,35,NA,11,NA,NA,NA,858.048584,1208.792725,1428.666626,1990.607178,2969.277832,3000.746582,2519.142822,0.964508057,1.459579945,0.7485255,0.799046516,0.264664531,0.460371375,0.1691636,0.336942047,0.130670677,0.39693949,0.681868605,0.253064333,0.559388369,0.122630782,0.417052835,0.828164756,2.663799763,2.508982897,10.75916862,0.735324025,0.753729224,0.762483001,1.743522048,498.43294,289.1170654,0.020469008,0.472356737,1.537453294,560.4497681,7.613523483,1.538571
22,7205_1,7205,1974,600,AMC,Amulet,NW1915 02 W3,74-8865,Dark Brown,Chernozem,Calcareous,50.27719891,-106.2739276,NA,A,pk,9,0,NA,NA,30,1.2,4.5,0.1,22.2,0.03,0.6,5.5,1.8,0.16,0.04,NA,0.07,0.01,NA,0.18,0.6,NA,NA,NA,28,27,18,6,16,9,45,3,13,23.3,13.5,2.2,892.25,1257.75,1506.666626,2181.75,3176.75,2999,2710.25,1.01940465,1.43473649,0.760716856,0.79830873,0.347918808,0.452523589,0.193316296,0.360489339,0.134037705,0.522014823,0.693656405,0.289974244,0.570917796,0.953654408,1.417893291,2.184792995,3.894698858,2.931399822,10.85290623,2.014346123,1.085136294,0.976495087,2.434597254,484.8635939,288.9255371,0.060800269,0.365418106,1.857158422,613.6893311,6.389437199,1.257615685
23,7206_1,7206,1974,600,SUA,Sutherland,NE2215 02 W3,74-8877,Dark Brown,Chernozem,Orthic,50.27724202,-106.1940367,NA,A,p,9,0,NA,NA,20.7,1.9,9.8,0.3,34.6,0.02,0.5,NA,2.3,0.13,0.08,NA,0.07,0.06,NA,0.23,2.2,NA,NA,NA,51,31,31,2,6,3,19,1,7,39,24,4.1,892,1244.5,1441.375,1961.75,2747.166748,3000.82959,2319.125,0.887793362,1.636811614,0.734846592,0.810202718,0.274459511,0.543186665,0.16322355,0.363299578,0.146146037,0.41215091,0.775498938,0.245011423,0.548532318,0.250515789,0.486772656,0.756623864,3.960183382,3.51525259,8.159570694,0.707906544,0.607046962,0.691537261,3.164168835,485.8680029,288.9528809,0.250524521,0.156201094,1.348418355,574.7994995,6.741564751,4.684231758
24,7207_1,7207,1974,600,SUOS,Sutherland,NE2215 02 W3,74-8882,Regosolic,Regosol,Orthic,50.27724202,-106.1940367,Saline,A,ps,11,0,NA,NA,24.5,1.6,21,6.6,33.7,0.08,18,0.5,2.1,1.48,2.51,NA,9.09,7.77,NA,0.22,1.2,NA,NA,NA,38,42,11,2,7,3,20,1,7,42.3,30.3,4.2,892,1244.5,1441.375,1961.75,2747.166748,3000.82959,2319.125,0.887793362,1.636811614,0.734846592,0.810202718,0.274459511,0.543186665,0.16322355,0.363299578,0.146146037,0.41215091,0.775498938,0.245011423,0.548532318,0.250515789,0.486772656,0.756623864,3.960183382,3.51525259,8.159570694,0.707906544,0.607046962,0.691537261,3.164168835,485.8680029,288.9528809,0.250524521,0.156201094,1.348418355,574.7994995,6.741564751,4.684231758
25,7208_1,7208,1974,600,FXE,Fox valley,NW2613 07 W3,74-8914,Brown,Chernozem,Eluviated,50.11692775,-106.8636975,NA,A,p,12,0,NA,NA,12,1.9,6.5,0.1,22.9,0.04,0.4,NA,2.5,0.05,0.01,NA,0.07,0.01,NA,0.23,3.1,NA,NA,NA,27,63,17,1,1,1,10,1,8,34.9,16.3,2.6,940.361084,1355.769287,1653.911743,2423.699951,3570.035645,3016.637207,3111.791748,0.980531096,1.831132174,0.75727582,0.829841197,0.276405811,0.507651448,0.153326795,0.371488899,0.139014825,0.415803994,0.786911735,0.231566178,0.537407356,0.172314152,0.395627826,0.539951742,1.419280529,1.001773238,4.095955849,0.48754701,0.335629344,0.098319642,0.820130408,478.7311159,288.7704773,0.303273946,0.651636958,3.174207211,662.1720581,7.70977354,1.694912195
26,7209_1,7209,1974,600,FCE,Flaxcombe,SE1713 07 W3,74-8942,Solod,Solonetz,Brown,50.08056662,-106.9206602,NA,A,p,9,0,NA,NA,6.2,2.1,3.3,0.1,NA,0.07,0.6,NA,2.1,0.08,0.02,NA,0.14,0.04,NA,0.22,NA,NA,NA,NA,25,54,21,2,5,2,22,1,11,31.1,13.6,2.1,810.9375,1164.714233,1428.428589,2094.5,3176.100098,3015.696777,2806.666504,0.944642723,1.41512537,0.753401637,0.799865484,0.339209914,0.450308859,0.191831946,0.349401206,0.122826976,0.508922814,0.736935293,0.287958875,0.55748245,0.501951218,0.773551941,1.406867743,3.173441887,2.954469204,8.152467728,1.24555707,1.179097891,1.070771217,2.084389448,478.0660622,288.7530518,0.03888851,0.263094455,1.612098455,589.6810913,7.250238419,1.644034028
27,7210_1,7210,1974,600,FCC,Flaxcombe,SE1713 07 W3,74-8947,Solidized Solonetz,Solonetz,Brown,50.08056662,-106.9206602,NA,A,p,9,0,NA,NA,9.5,1.8,4.1,0.2,NA,0.05,0.5,NA,2.5,0.08,0.02,NA,0.14,0.06,NA,0.24,NA,NA,NA,NA,27,53,20,2,4,2,20,1,10,31,14.4,2.2,810.9375,1164.714233,1428.428589,2094.5,3176.100098,3015.696777,2806.666504,0.944642723,1.41512537,0.753401637,0.799865484,0.339209914,0.450308859,0.191831946,0.349401206,0.122826976,0.508922814,0.736935293,0.287958875,0.55748245,0.501951218,0.773551941,1.406867743,3.173441887,2.954469204,8.152467728,1.24555707,1.179097891,1.070771217,2.084389448,478.0660622,288.7530518,0.03888851,0.263094455,1.612098455,589.6810913,7.250238419,1.644034028
28,7211_1,7211,1974,600,IWA,Instow,NW2913 12 W3,74-8755,Solonetz,Solonetz,Dark Brown,50.11716785,-107.6144046,NA,A,p,13,0,NA,NA,10.9,1.4,6.8,0.3,24.7,0.05,0.6,NA,2.9,0.13,0.03,NA,0.24,0.07,NA,0.3,2.9,NA,NA,NA,26,52,14,1,5,3,23,1,13,33.3,17,2.4,769.5238037,1083.352905,1323.791626,2006.594238,3287.526367,2998.820313,2887.328125,0.995459318,2.157686234,0.766004145,0.840901613,0.300857246,0.615797877,0.167956978,0.34696275,0.174771092,0.450794805,0.846632732,0.252776237,0.537627839,0.387102067,0.466499209,0.648587823,1.07480371,0.924538732,4.849246979,0.657974958,0.62456131,0.593951225,0.790705323,466.3934183,288.7058716,0.403295845,0.701647937,3.09306097,787.395752,8.653469086,1.27163744
